(2019-04-26 08:37:56 周五) 	 softdog_login: 0
(2019-04-26 08:37:56 周五) 	 read_dog: 0
(2019-04-26 08:37:58 周五) 	 QMetaObject::connectSlotsByName: No matching signal for on_comboBox_activated(QString)
(2019-04-26 08:37:58 周五) 	 本机ip: "192.168.101.46"
(2019-04-26 08:37:58 周五) 	 softdog_login: 0
(2019-04-26 08:38:06 周五) 	 串口发送 "\u0002PH0\u0003+"
(2019-04-26 08:38:06 周五) 	 串口接收数据: "06"
(2019-04-26 08:38:06 周五) 	 串口发送 "\u0002PJ10\u0003\u0018"
(2019-04-26 08:38:06 周五) 	 串口接收数据: "06"
(2019-04-26 08:38:06 周五) 	 串口发送 "\u0002PG0\u0003$"
(2019-04-26 08:38:06 周五) 	 串口接收数据: "06"
(2019-04-26 08:38:06 周五) 	 串口发送 "\u0002PL20\u0003\u001D"
(2019-04-26 08:38:06 周五) 	 串口接收数据: "06"
(2019-04-26 08:38:06 周五) 	 串口发送 "\u0002PK100\u0003)"
(2019-04-26 08:38:06 周五) 	 串口接收数据: "06"
(2019-04-26 08:38:06 周五) 	 串口发送 "\u0002PI0\u0003*"
(2019-04-26 08:38:06 周五) 	 串口接收数据: "06"
(2019-04-26 08:38:09 周五) 	 ===开始===
(2019-04-26 08:38:09 周五) 	 softdog_login: 0
(2019-04-26 08:38:09 周五) 	 read_dog: 0
(2019-04-26 08:38:09 周五) 	 未注册
(2019-04-26 08:38:13 周五) 	 QWindowsWindow::setGeometry: Unable to set geometry 120x30+359+487 on QWidgetWindow/'QInputDialogClassWindow'. Resulting geometry:  178x89+359+487 (frame: 8, 31, 8, 8, custom margin: 0, 0, 0, 0, minimum size: 178x89, maximum size: 524287x89).
(2019-04-26 08:38:57 周五) 	 softdog_login: 0
(2019-04-26 08:38:57 周五) 	 本机Mac地址： "74:70:FD:50:0E:ED"
(2019-04-26 08:38:57 周五) 	 本机Mac地址： "00:FF:06:E8:4C:96"
(2019-04-26 08:38:57 周五) 	 本机Mac地址： "74:70:FD:50:0E:EC"
(2019-04-26 08:38:57 周五) 	 本机Mac地址： ""
(2019-04-26 08:38:57 周五) 	 softdog_login: 0
(2019-04-26 08:38:57 周五) 	 本机Mac地址： "74:70:FD:50:0E:ED"
(2019-04-26 08:38:57 周五) 	 本机Mac地址： "00:FF:06:E8:4C:96"
(2019-04-26 08:38:57 周五) 	 本机Mac地址： "74:70:FD:50:0E:EC"
(2019-04-26 08:38:57 周五) 	 本机Mac地址： ""
(2019-04-26 08:39:02 周五) 	 ===开始===
(2019-04-26 08:39:02 周五) 	 softdog_login: 0
